file,pipeline,base_design,trojan_type,variant,rewrite_rate,label,gates,trojan_gates,bytes
top1_trojan0_0_netlist.v,design_compiler,top1,0,0,,TROJANED,924,121,42468
top1_trojan0_10_netlist.v,design_compiler,top1,0,10,,TROJANED,948,145,43953
top1_trojan0_11_netlist.v,design_compiler,top1,0,11,,TROJANED,774,67,34757
top1_trojan0_12_netlist.v,design_compiler,top1,0,12,,TROJANED,824,85,37327
top1_trojan0_13_netlist.v,design_compiler,top1,0,13,,TROJANED,874,103,39897
top1_trojan0_14_netlist.v,design_compiler,top1,0,14,,TROJANED,942,139,43838
top1_trojan0_15_netlist.v,design_compiler,top1,0,15,,TROJANED,960,157,45211
top1_trojan0_16_netlist.v,design_compiler,top1,0,16,,TROJANED,978,175,46608
top1_trojan0_17_netlist.v,design_compiler,top1,0,17,,TROJANED,996,193,48014
top1_trojan0_18_netlist.v,design_compiler,top1,0,18,,TROJANED,749,58,33458
top1_trojan0_19_netlist.v,design_compiler,top1,0,19,,TROJANED,799,76,36042
top1_trojan0_1_netlist.v,design_compiler,top1,0,1,,TROJANED,924,121,42468
top1_trojan0_20_netlist.v,design_compiler,top1,0,20,,TROJANED,849,94,38612
top1_trojan0_21_netlist.v,design_compiler,top1,0,21,,TROJANED,899,112,41182
top1_trojan0_22_netlist.v,design_compiler,top1,0,22,,TROJANED,933,130,43153
top1_trojan0_23_netlist.v,design_compiler,top1,0,23,,TROJANED,951,148,44524
top1_trojan0_24_netlist.v,design_compiler,top1,0,24,,TROJANED,969,166,45906
top1_trojan0_2_netlist.v,design_compiler,top1,0,2,,TROJANED,987,184,47310
top1_trojan0_3_netlist.v,design_compiler,top1,0,3,,TROJANED,916,113,41968
top1_trojan0_4_netlist.v,design_compiler,top1,0,4,,TROJANED,920,117,42215
top1_trojan0_5_netlist.v,design_compiler,top1,0,5,,TROJANED,923,120,42505
top1_trojan0_6_netlist.v,design_compiler,top1,0,6,,TROJANED,932,129,42962
top1_trojan0_7_netlist.v,design_compiler,top1,0,7,,TROJANED,936,133,43209
top1_trojan0_8_netlist.v,design_compiler,top1,0,8,,TROJANED,940,137,43459
top1_trojan0_9_netlist.v,design_compiler,top1,0,9,,TROJANED,939,136,43499
top1_trojan1_0_netlist.v,design_compiler,top1,1,0,,TROJANED,470,17,18793
top1_trojan1_10_netlist.v,design_compiler,top1,1,10,,TROJANED,551,98,22414
top1_trojan1_11_netlist.v,design_compiler,top1,1,11,,TROJANED,558,105,22735
top1_trojan1_12_netlist.v,design_compiler,top1,1,12,,TROJANED,565,112,23056
top1_trojan1_13_netlist.v,design_compiler,top1,1,13,,TROJANED,469,16,18745
top1_trojan1_14_netlist.v,design_compiler,top1,1,14,,TROJANED,470,17,18795
top1_trojan1_15_netlist.v,design_compiler,top1,1,15,,TROJANED,469,16,18761
top1_trojan1_16_netlist.v,design_compiler,top1,1,16,,TROJANED,470,17,18795
top1_trojan1_17_netlist.v,design_compiler,top1,1,17,,TROJANED,469,16,18761
top1_trojan1_18_netlist.v,design_compiler,top1,1,18,,TROJANED,470,17,18801
top1_trojan1_19_netlist.v,design_compiler,top1,1,19,,TROJANED,470,17,18800
top1_trojan1_1_netlist.v,design_compiler,top1,1,1,,TROJANED,478,25,19123
top1_trojan1_20_netlist.v,design_compiler,top1,1,20,,TROJANED,470,17,18801
top1_trojan1_21_netlist.v,design_compiler,top1,1,21,,TROJANED,471,18,18841
top1_trojan1_22_netlist.v,design_compiler,top1,1,22,,TROJANED,472,19,18875
top1_trojan1_23_netlist.v,design_compiler,top1,1,23,,TROJANED,471,18,18841
top1_trojan1_24_netlist.v,design_compiler,top1,1,24,,TROJANED,483,30,19310
top1_trojan1_2_netlist.v,design_compiler,top1,1,2,,TROJANED,496,43,19916
top1_trojan1_3_netlist.v,design_compiler,top1,1,3,,TROJANED,503,50,20238
top1_trojan1_4_netlist.v,design_compiler,top1,1,4,,TROJANED,510,57,20560
top1_trojan1_5_netlist.v,design_compiler,top1,1,5,,TROJANED,517,64,20882
top1_trojan1_6_netlist.v,design_compiler,top1,1,6,,TROJANED,524,71,21204
top1_trojan1_7_netlist.v,design_compiler,top1,1,7,,TROJANED,529,76,21446
top1_trojan1_8_netlist.v,design_compiler,top1,1,8,,TROJANED,537,84,21772
top1_trojan1_9_netlist.v,design_compiler,top1,1,9,,TROJANED,544,91,22093
top1_trojan2_0_netlist.v,design_compiler,top1,2,0,,TROJANED,990,25,41294
top1_trojan2_10_netlist.v,design_compiler,top1,2,10,,TROJANED,1032,67,43501
top1_trojan2_11_netlist.v,design_compiler,top1,2,11,,TROJANED,1038,73,43817
top1_trojan2_12_netlist.v,design_compiler,top1,2,12,,TROJANED,974,21,40600
top1_trojan2_13_netlist.v,design_compiler,top1,2,13,,TROJANED,983,24,40981
top1_trojan2_14_netlist.v,design_compiler,top1,2,14,,TROJANED,994,29,41520
